Websites delivered,Backlog of orders,Team number,Team experience,Process change,Year,Quarter
1,12,1,3,0,2001,1
2,18,1,6,0,2001,2
7,26,1,9,0,2001,3
2,28,1,12,0,2001,4
1,36,1,15,0,2002,1
10,45,1,18,1,2002,2
10,36,1,21,1,2002,3
1,18,2,3,0,2001,1
1,25,2,6,0,2001,2
6,28,2,9,0,2001,3
5,28,2,12,0,2001,4
11,38,2,15,0,2002,1
15,38,2,18,1,2002,2
13,34,2,21,1,2002,3
3,18,3,3,0,2001,1
3,23,3,6,0,2001,2
13,29,3,9,0,2001,3
6,24,3,12,0,2001,4
2,32,3,15,0,2002,1
11,41,3,18,1,2002,2
3,33,3,21,1,2002,3
7,21,4,3,0,2001,1
12,22,4,6,0,2001,2
7,25,4,9,0,2001,3
1,27,4,12,0,2001,4
10,37,4,15,0,2002,1
12,38,4,18,1,2002,2
8,34,4,21,1,2002,3
1,19,5,3,0,2001,1
8,25,5,6,0,2001,2
8,24,5,9,0,2001,3
5,24,5,12,0,2001,4
16,33,5,15,0,2002,1
13,34,5,18,1,2002,2
22,31,5,21,1,2002,3
2,18,6,2,0,2001,1
3,24,6,5,0,2001,2
5,25,6,8,0,2001,3
2,26,6,11,0,2001,4
1,38,6,14,0,2002,1
20,43,6,17,1,2002,2
24,29,6,20,1,2002,3
7,16,7,4,0,2001,4
11,34,7,7,0,2002,1
16,31,7,10,1,2002,2
27,26,7,13,1,2002,3
5,18,8,5,0,2001,4
6,35,8,8,0,2002,1
22,38,8,11,1,2002,2
30,29,8,14,1,2002,3
6,12,9,3,0,2001,2
13,23,9,6,0,2001,3
6,21,9,9,0,2001,4
5,33,9,12,0,2002,1
19,37,9,15,1,2002,2
22,27,9,18,1,2002,3
7,18,10,4,0,2001,3
9,20,10,7,0,2001,4
8,33,10,10,0,2002,1
7,33,10,13,1,2002,2
6,33,10,16,1,2002,3
3,23,11,5,0,2002,1
13,34,11,8,1,2002,2
21,29,11,11,1,2002,3
7,3,12,3,1,2002,2
22,25,12,6,1,2002,3
0,15,13,2,0,2001,1
2,24,13,5,0,2001,2
2,27,13,8,0,2001,3
7,28,13,11,0,2001,4
7,36,13,14,0,2002,1
19,37,13,17,1,2002,2
12,26,13,20,1,2002,3
